                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.95609,                0.52145,                 1.1305,                 0.9984,                      1,                  0.995,                0.72961,                0.98315,                0.40785,                 1.1592,               0.001502,               0.001502,               0.001502
                    102,                0.95165,                0.52255,                 1.1381,                      1,                0.99842,                  0.995,                0.72692,                 1.0321,                0.45404,                 1.1977,              0.0015003,              0.0015003,              0.0015003
                    103,                0.98543,                0.55578,                 1.1396,                0.97765,                      1,                0.99459,                0.71009,                 1.0845,                0.43272,                 1.2399,              0.0014987,              0.0014987,              0.0014987
                    104,                0.95847,                 0.5261,                 1.1398,                 0.9971,                      1,                  0.995,                0.72148,                 1.0925,                 0.4017,                  1.192,               0.001497,               0.001497,               0.001497
                    105,                0.92786,                0.51766,                 1.1108,                0.99857,                      1,                  0.995,                0.72995,                 1.0283,                0.41571,                 1.1757,              0.0014954,              0.0014954,              0.0014954
                    106,                0.95355,                0.52821,                 1.1359,                      1,                0.99818,                  0.995,                0.69119,                 1.1167,                0.46266,                 1.2498,              0.0014937,              0.0014937,              0.0014937
                    107,                0.90457,                 0.4979,                 1.1171,                0.97749,                      1,                0.99459,                 0.6919,                 1.1411,                0.46935,                 1.2455,              0.0014921,              0.0014921,              0.0014921
                    108,                 0.9767,                0.52832,                 1.1359,                0.97779,                      1,                0.98908,                0.68217,                 1.0988,                0.44221,                 1.2275,              0.0014904,              0.0014904,              0.0014904
                    109,                0.96977,                0.52859,                  1.128,                 0.9776,                      1,                0.99378,                 0.6466,                 1.1626,                0.47313,                 1.3192,              0.0014888,              0.0014888,              0.0014888
                    110,                 0.9816,                0.52617,                  1.136,                 0.9985,                      1,                  0.995,                0.73747,                0.99121,                0.39998,                 1.1711,              0.0014871,              0.0014871,              0.0014871
                    111,                0.92917,                0.50432,                 1.1207,                0.99744,                      1,                  0.995,                0.70415,                 1.0698,                0.42981,                 1.2144,              0.0014855,              0.0014855,              0.0014855
                    112,                0.94068,                0.50943,                 1.1207,                0.99863,                      1,                  0.995,                0.70807,                 1.0446,                0.41633,                 1.1869,              0.0014838,              0.0014838,              0.0014838
                    113,                0.95187,                0.54476,                 1.1115,                0.99804,                      1,                  0.995,                 0.6851,                 1.1024,                0.43395,                 1.2242,              0.0014822,              0.0014822,              0.0014822
                    114,                0.91063,                0.49058,                 1.0904,                0.99893,                      1,                  0.995,                0.72504,                 1.0671,                0.41734,                 1.1942,              0.0014805,              0.0014805,              0.0014805
                    115,                0.94239,                0.51417,                 1.1223,                0.99796,                      1,                  0.995,                0.71842,                 1.0797,                0.43702,                 1.2494,              0.0014789,              0.0014789,              0.0014789
                    116,                0.93346,                0.51722,                 1.1244,                      1,                0.97675,                  0.995,                0.73577,                   1.04,                0.51261,                 1.1779,              0.0014772,              0.0014772,              0.0014772
                    117,                 0.9135,                0.49588,                 1.1155,                0.99833,                      1,                  0.995,                0.68169,                  1.135,                0.42113,                 1.2543,              0.0014756,              0.0014756,              0.0014756
                    118,                0.92253,                0.51895,                 1.1059,                0.99855,                      1,                  0.995,                0.73315,                 1.0299,                0.40683,                 1.1969,              0.0014739,              0.0014739,              0.0014739
                    119,                0.94983,                0.51525,                 1.1069,                0.99864,                      1,                  0.995,                0.72804,                 1.0433,                0.40684,                 1.1886,              0.0014723,              0.0014723,              0.0014723
                    120,                 0.9259,                0.50376,                 1.1115,                0.99646,                      1,                  0.995,                0.72003,                 1.0617,                0.41709,                 1.1895,              0.0014706,              0.0014706,              0.0014706
                    121,                0.91711,                0.49746,                 1.0942,                0.99256,                      1,                  0.995,                0.75164,                0.97201,                0.41155,                 1.1552,               0.001469,               0.001469,               0.001469
                    122,                0.91887,                0.49807,                 1.1139,                0.99993,                      1,                  0.995,                0.71155,                 1.0768,                0.41555,                 1.2436,              0.0014673,              0.0014673,              0.0014673
                    123,                0.91399,                0.48583,                 1.1091,                0.99854,                      1,                  0.995,                0.70295,                 1.1204,                0.41679,                 1.2176,              0.0014657,              0.0014657,              0.0014657
                    124,                0.91724,                0.49691,                 1.0866,                0.99931,                      1,                  0.995,                0.68882,                 1.1289,                0.43781,                 1.2325,               0.001464,               0.001464,               0.001464
                    125,                0.90446,                0.49221,                 1.0887,                0.99784,                      1,                  0.995,                0.71787,                 1.0254,                0.42665,                 1.1855,              0.0014624,              0.0014624,              0.0014624
                    126,                0.89957,                 0.4896,                 1.0889,                0.99587,                0.97917,                0.99459,                0.71441,                 1.0656,                0.49089,                 1.2175,              0.0014607,              0.0014607,              0.0014607
                    127,                0.92758,                0.52006,                 1.1109,                 0.9983,                      1,                  0.995,                 0.7306,                 1.0611,                0.42172,                  1.217,              0.0014591,              0.0014591,              0.0014591
                    128,                0.89206,                0.48463,                 1.0979,                0.99693,                      1,                  0.995,                 0.7451,                  1.007,                0.39059,                 1.1849,              0.0014574,              0.0014574,              0.0014574
                    129,                0.86898,                0.46473,                 1.0856,                0.97828,                      1,                0.99459,                0.73035,                 1.0656,                 0.4207,                 1.1979,              0.0014558,              0.0014558,              0.0014558
                    130,                0.88155,                0.48537,                 1.0862,                0.99801,                      1,                  0.995,                0.71805,                 1.0793,                0.41672,                 1.2309,              0.0014541,              0.0014541,              0.0014541
                    131,                0.89145,                0.48459,                 1.0855,                0.97996,                      1,                  0.995,                0.74303,                  1.039,                0.40731,                  1.184,              0.0014525,              0.0014525,              0.0014525
                    132,                0.91602,                0.49333,                 1.0992,                0.97817,                      1,                0.98745,                0.72872,                 1.0103,                0.42539,                 1.1971,              0.0014508,              0.0014508,              0.0014508
                    133,                0.90363,                0.49947,                 1.0868,                0.99438,                      1,                  0.995,                0.72272,                 1.0471,                0.41679,                 1.2183,              0.0014492,              0.0014492,              0.0014492
                    134,                0.88747,                 0.4799,                 1.0884,                0.97937,                      1,                0.99459,                0.69897,                 1.0639,                0.41811,                 1.2252,              0.0014475,              0.0014475,              0.0014475
                    135,                0.90506,                0.48705,                  1.098,                 0.9978,                      1,                  0.995,                0.71508,                 1.0592,                0.40669,                  1.242,              0.0014459,              0.0014459,              0.0014459
                    136,                0.87797,                0.49539,                 1.0801,                      1,                 0.9972,                  0.995,                0.72688,                 1.0785,                0.46047,                 1.2057,              0.0014442,              0.0014442,              0.0014442
                    137,                0.90387,                0.49856,                 1.1002,                0.97928,                      1,                  0.995,                0.69835,                 1.1234,                0.42752,                 1.2167,              0.0014426,              0.0014426,              0.0014426
