                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.59335,                0.41906,                0.91207,                  0.939,                0.95763,                0.98278,                0.81027,                0.70406,                0.45649,                0.96925,              0.0018515,              0.0018515,              0.0018515
                     77,                0.58256,                0.45249,                0.91605,                0.95037,                0.97375,                0.98768,                0.80923,                0.73333,                0.44177,                0.99009,              0.0018495,              0.0018495,              0.0018495
                     78,                0.62335,                0.41988,                0.90727,                0.92496,                0.99153,                0.99006,                0.83676,                0.65485,                0.46664,                0.95147,              0.0018475,              0.0018475,              0.0018475
                     79,                0.69106,                0.48157,                0.93888,                0.96895,                0.98305,                0.99375,                0.84063,                0.68312,                0.38324,                0.96073,              0.0018456,              0.0018456,              0.0018456
                     80,                0.62249,                0.48999,                0.92251,                0.95679,                0.93829,                0.97672,                0.80961,                 0.7007,                0.44247,                0.96706,              0.0018436,              0.0018436,              0.0018436
                     81,                0.59044,                0.42756,                0.90383,                0.85183,                0.87696,                0.92984,                0.72813,                  0.799,                  0.614,                 1.0462,              0.0018416,              0.0018416,              0.0018416
                     82,                0.57085,                 0.4552,                0.89339,                0.94132,                0.74576,                0.86318,                0.68051,                0.85079,                0.74384,                 1.0677,              0.0018396,              0.0018396,              0.0018396
                     83,                0.57977,                0.39753,                0.89646,                0.94012,                0.93134,                0.96781,                0.78992,                0.74927,                0.45973,                0.99343,              0.0018376,              0.0018376,              0.0018376
                     84,                  0.594,                0.42352,                0.89403,                0.96259,                 0.9661,                0.99085,                0.82125,                 0.6849,                0.40839,                0.98296,              0.0018357,              0.0018357,              0.0018357
                     85,                 0.5563,                0.38948,                  0.898,                0.96166,                0.97458,                0.99174,                0.81094,                0.71502,                0.41132,                 1.0183,              0.0018337,              0.0018337,              0.0018337
                     86,                 0.5696,                0.41611,                0.88307,                0.95913,                0.98305,                0.99242,                0.81006,                0.71486,                0.42236,                 1.0054,              0.0018317,              0.0018317,              0.0018317
                     87,                0.56151,                0.42028,                0.89857,                0.98107,                 0.9661,                0.99198,                0.82265,                 0.6565,                0.38227,                0.95769,              0.0018297,              0.0018297,              0.0018297
                     88,                0.55264,                0.41644,                0.89784,                 0.9669,                0.99019,                0.99391,                0.83332,                0.64223,                0.37219,                0.94204,              0.0018277,              0.0018277,              0.0018277
                     89,                0.58282,                0.40878,                0.90203,                0.97239,                0.98305,                0.99242,                0.82868,                0.65406,                0.38057,                0.94446,              0.0018258,              0.0018258,              0.0018258
                     90,                0.54908,                0.39818,                0.89382,                0.96892,                0.98305,                0.98605,                0.83165,                0.62163,                0.37213,                0.93033,              0.0018238,              0.0018238,              0.0018238
                     91,                0.54497,                0.41125,                0.90354,                0.96489,                 0.9661,                0.98419,                0.83461,                0.61287,                0.38702,                0.93188,              0.0018218,              0.0018218,              0.0018218
                     92,                0.58631,                0.43292,                0.90391,                0.98117,                 0.9661,                0.99102,                0.82937,                0.65087,                0.40186,                0.93392,              0.0018198,              0.0018198,              0.0018198
                     93,                0.56771,                0.41068,                0.89956,                0.96348,                 0.9661,                0.98237,                0.83282,                0.62191,                0.40332,                0.92198,              0.0018178,              0.0018178,              0.0018178
                     94,                 0.5507,                0.40309,                0.86515,                0.97215,                0.95763,                0.98081,                0.82771,                0.59773,                0.40478,                 0.9071,              0.0018159,              0.0018159,              0.0018159
                     95,                0.57277,                0.39841,                0.89649,                0.95843,                0.99153,                0.99358,                 0.8486,                0.59157,                0.36049,                0.91558,              0.0018139,              0.0018139,              0.0018139
                     96,                0.56006,                0.41641,                0.90434,                0.98304,                0.98226,                0.99399,                0.85368,                0.56455,                0.35341,                0.90403,              0.0018119,              0.0018119,              0.0018119
                     97,                0.55594,                0.40595,                0.89493,                0.96672,                0.98477,                0.99391,                0.85702,                 0.5716,                0.35115,                0.90163,              0.0018099,              0.0018099,              0.0018099
                     98,                0.58429,                0.41112,                 0.9043,                0.98814,                 0.9661,                0.99327,                0.86232,                0.58002,                0.35342,                0.90878,              0.0018079,              0.0018079,              0.0018079
                     99,                0.54723,                0.37717,                 0.8671,                0.97452,                0.97239,                0.99262,                0.86113,                0.58487,                0.35063,                0.90695,               0.001806,               0.001806,               0.001806
                    100,                0.55492,                0.41657,                0.88514,                0.99883,                0.94915,                0.99308,                 0.8574,                0.59285,                0.34836,                0.92035,               0.001804,               0.001804,               0.001804
                    101,                0.52519,                0.37786,                0.87665,                0.99266,                 0.9661,                0.99371,                0.85455,                0.58617,                0.34706,                 0.9157,               0.001802,               0.001802,               0.001802
                    102,                0.55307,                0.38052,                0.86075,                0.95895,                 0.9898,                0.99358,                0.85758,                0.59497,                0.36268,                0.91837,                 0.0018,                 0.0018,                 0.0018
                    103,                0.50497,                0.39623,                0.88686,                0.97477,                0.98229,                0.99424,                0.85903,                0.57077,                0.34852,                0.90152,               0.001798,               0.001798,               0.001798
